testId,testCase,username,password,confirmPassword,expected,expectedError,
REG_VAL_001,Valid User,guigudf1,Password123!,Password123!,pass,,
REG_VAL_002,Valid User,guigudf2,MyPass123!,MyPass123!,pass,,
REG_VAL_003,Valid User,guigudf3,Enterprise1!,Enterprise1!,pass,,
REG_VAL_004,Valid User,guigudf4,123456,123456,pass,,
REG_VAL_005,Accent,josé,Senha123!,Senha123!,fail,Invalid username,
REG_INV_001,Uppercase,John,Password123!,Password123!,fail,Invalid username,
REG_INV_002,long,jjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj,Password123!,Password123!,fail,Invalid username,
REG_INV_003,Short,jo,Password123!,Password123!,fail,Invalid username,
REG_INV_004,Hyphen,john-,Password123!,Password123!,fail,Invalid username,
REG_INV_005,Spaces,jo hn,Password123!,Password123!,fail,Invalid username,
REG_MIS_001,Mismatch,John,Password123!,Password321!,fail,Passwords do not match,
REG_MIS_002,Mismatch,Mary,Password123!,Password123,fail,Passwords do not match,
REG_MIS_003,Mismatch,Peter,Abc123!!,Abc321!!,fail,Passwords do not match,
REG_LEN_001,Minimum-1,John,12345,12345,fail,Password must be at least 4 characters long.,
REG_LEN_002,Minimum Password,guigudf16,123456,123456,pass,,
REG_LEN_003,Minimum Username,gu1,VeryLongPassword123456789123456789,VeryLongPassword123456789123456789,pass,,
REG_REQ_001,Missing Username,,Password123!,Password123!,fail,All fields are required,
REG_REQ_002,Missing Password,John,,Password123!,fail,All fields are required,
REG_NAME_001,Hyphen,Jean-Luc,Password123!,Password123!,pass,,
REG_NAME_002,Emoji,??????,Password123!,Password123!,fail,Invalid username,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
